"","YEAR","port_per_trip","region","nation","reserve","fished","total_effort","displacement","dataset"
"148",NA,"ANCONA","marche","ITA",0,35641.9833333333,35641.9833333333,0,"AIS_before"
"149",NA,"ANCONA",NA,NA,0,4.66666666666667,4.66666666666667,0,"AIS_before"
"150",NA,"BARI","puglia","ITA",0,1445.43333333333,1445.43333333333,0,"AIS_before"
"151",NA,"BARLETTA","puglia","ITA",0,3825.61666666667,3825.61666666667,0,"AIS_before"
"152",NA,"BARLETTA",NA,NA,0,267.883333333333,267.883333333333,0,"AIS_before"
"153",NA,"BETINA",NA,"HRV",20.0333333333333,64.1333333333333,84.1666666666667,23.802,"AIS_before"
"154",NA,"BETINA",NA,NA,5.7,55.5333333333333,61.2333333333333,9.309,"AIS_before"
"155",NA,"BIOGRAD NA MORU",NA,"HRV",13.9833333333333,161.45,175.433333333333,7.971,"AIS_before"
"156",NA,"BISCEGLIE","puglia","ITA",0,2186.91666666667,2186.91666666667,0,"AIS_before"
"157",NA,"BISCEGLIE",NA,NA,14.6833333333333,85.4666666666667,100.15,14.661,"AIS_before"
"158",NA,"BRINDISI","puglia","ITA",0,4829.25,4829.25,0,"AIS_before"
"159",NA,"BRINDISI",NA,NA,0,813.483333333333,813.483333333333,0,"AIS_before"
"160",NA,"CAORLE","veneto","ITA",0,5502.26666666667,5502.26666666667,0,"AIS_before"
"161",NA,"CAORLE",NA,NA,0,818.533333333333,818.533333333333,0,"AIS_before"
"162",NA,"CAPOIALE","puglia","ITA",0,369.383333333333,369.383333333333,0,"AIS_before"
"163",NA,"CATTOLICA","emilia","ITA",0,848.816666666667,848.816666666667,0,"AIS_before"
"164",NA,"CATTOLICA",NA,NA,0,168.883333333333,168.883333333333,0,"AIS_before"
"165",NA,"CESENATICO","emilia","ITA",0,2030.38333333333,2030.38333333333,0,"AIS_before"
"166",NA,"CESENATICO",NA,NA,0,1.8,1.8,0,"AIS_before"
"167",NA,"CHIOGGIA","veneto","ITA",0,33438.9666666667,33438.9666666667,0,"AIS_before"
"168",NA,"CHIOGGIA",NA,NA,0,22.1333333333333,22.1333333333333,0,"AIS_before"
"169",NA,"CIVITANOVA MARCHE","marche","ITA",72.9,38052.4666666667,38125.3666666667,0.191,"AIS_before"
"170",NA,"CIVITANOVA MARCHE",NA,NA,0,214.433333333333,214.433333333333,0,"AIS_before"
"171",NA,"DRVENIK",NA,"HRV",0,35.5166666666667,35.5166666666667,0,"AIS_before"
"172",NA,"DUBROVNIK",NA,"HRV",0,5284.01666666667,5284.01666666667,0,"AIS_before"
"173",NA,"DUBROVNIK",NA,NA,0,569.533333333333,569.533333333333,0,"AIS_before"
"174",NA,"DURRES",NA,"ALB",0,0.333333333333333,0.333333333333333,0,"AIS_before"
"175",NA,"DURRES",NA,NA,0,1.18333333333333,1.18333333333333,0,"AIS_before"
"176",NA,"FANO","marche","ITA",0,5163.9,5163.9,0,"AIS_before"
"177",NA,"FANO",NA,NA,0,68.7833333333333,68.7833333333333,0,"AIS_before"
"178",NA,"GIULIANOVA","abruzzo","ITA",822.416666666667,3022.68333333333,3845.1,21.389,"AIS_before"
"179",NA,"GIULIANOVA",NA,NA,0,141.5,141.5,0,"AIS_before"
"180",NA,"GORO","veneto","ITA",0,630.016666666667,630.016666666667,0,"AIS_before"
"181",NA,"GORO",NA,NA,0,32.4666666666667,32.4666666666667,0,"AIS_before"
"182",NA,"GRADO","friuli","ITA",0,1363.43333333333,1363.43333333333,0,"AIS_before"
"183",NA,"GRADO",NA,NA,0,37.4166666666667,37.4166666666667,0,"AIS_before"
"184",NA,"HVAR",NA,"HRV",0,441.533333333333,441.533333333333,0,"AIS_before"
"185",NA,"HVAR",NA,NA,0,120.216666666667,120.216666666667,0,"AIS_before"
"186",NA,"IST",NA,"HRV",6.51666666666667,620.4,626.916666666667,1.039,"AIS_before"
"187",NA,"IST",NA,NA,0,205.916666666667,205.916666666667,0,"AIS_before"
"188",NA,"IZOLA",NA,"SVN",0,124.966666666667,124.966666666667,0,"AIS_before"
"189",NA,"KARIGADOR",NA,"HRV",0,1212.73333333333,1212.73333333333,0,"AIS_before"
"190",NA,"KARIGADOR",NA,NA,0,1.75,1.75,0,"AIS_before"
"191",NA,"KOMIZA",NA,"HRV",90.2333333333333,4105.26666666667,4195.5,2.151,"AIS_before"
"192",NA,"KOMIZA",NA,NA,4.68333333333333,315.55,320.233333333333,1.462,"AIS_before"
"193",NA,"KOPER",NA,"SVN",0,167.55,167.55,0,"AIS_before"
"194",NA,"LASTOVSKO OTOCJE",NA,"HRV",0,664.95,664.95,0,"AIS_before"
"195",NA,"LASTOVSKO OTOCJE",NA,NA,0,184.833333333333,184.833333333333,0,"AIS_before"
"196",NA,"LOVISTE",NA,"HRV",0,103.433333333333,103.433333333333,0,"AIS_before"
"197",NA,"MAKARSKA",NA,"HRV",0,104.1,104.1,0,"AIS_before"
"198",NA,"MALI LOSINJ",NA,"HRV",2.23333333333333,1116.16666666667,1118.4,0.2,"AIS_before"
"199",NA,"MALI LOSINJ",NA,NA,95.4,724.316666666667,819.716666666667,11.638,"AIS_before"
"200",NA,"MANFREDONIA","puglia","ITA",0,5085.61666666667,5085.61666666667,0,"AIS_before"
"201",NA,"MANFREDONIA",NA,NA,0,819.683333333333,819.683333333333,0,"AIS_before"
"202",NA,"MARANO LAGUNARE","friuli","ITA",0,3801.11666666667,3801.11666666667,0,"AIS_before"
"203",NA,"MARANO LAGUNARE",NA,NA,0,7.55,7.55,0,"AIS_before"
"204",NA,"MEDULIN",NA,"HRV",0,123.2,123.2,0,"AIS_before"
"205",NA,"MOLA DI BARI","puglia","ITA",0,2766.15,2766.15,0,"AIS_before"
"206",NA,"MOLA DI BARI",NA,NA,0,223.866666666667,223.866666666667,0,"AIS_before"
"207",NA,"MOLFETTA","puglia","ITA",0,19965.8,19965.8,0,"AIS_before"
"208",NA,"MOLFETTA",NA,NA,14.1333333333333,3009.26666666667,3023.4,0.467,"AIS_before"
"209",NA,"MOLUNAT",NA,"HRV",0,211.716666666667,211.716666666667,0,"AIS_before"
"210",NA,"MONOPOLI","puglia","ITA",16.2333333333333,6011.11666666667,6027.35,0.269,"AIS_before"
"211",NA,"MONOPOLI",NA,NA,6.4,66.45,72.85,8.785,"AIS_before"
"212",NA,"MURTER",NA,"HRV",19.8833333333333,196.466666666667,216.35,9.19,"AIS_before"
"213",NA,"MURTER",NA,NA,3.6,86.1833333333333,89.7833333333333,4.01,"AIS_before"
"214",NA,"NOVIGRAD",NA,"HRV",0,161.25,161.25,0,"AIS_before"
"215",NA,"NOVIGRAD",NA,NA,0,69.75,69.75,0,"AIS_before"
"216",NA,"OMISALJ",NA,"HRV",0,6.38333333333333,6.38333333333333,0,"AIS_before"
"217",NA,"OPATIJA",NA,"HRV",0,4.86666666666667,4.86666666666667,0,"AIS_before"
"218",NA,"OPATIJA",NA,NA,0,0.85,0.85,0,"AIS_before"
"219",NA,"OREBIC",NA,"HRV",0,1094.48333333333,1094.48333333333,0,"AIS_before"
"220",NA,"OREBIC",NA,NA,0,12.15,12.15,0,"AIS_before"
"221",NA,"ORTONA","abruzzo","ITA",2337.88333333333,7964.13333333333,10302.0166666667,22.693,"AIS_before"
"222",NA,"ORTONA",NA,NA,7.5,475.133333333333,482.633333333333,1.554,"AIS_before"
"223",NA,"OTRANTO","puglia","ITA",0,1912.78333333333,1912.78333333333,0,"AIS_before"
"224",NA,"OTRANTO",NA,NA,0,55.55,55.55,0,"AIS_before"
"225",NA,"PESARO","marche","ITA",0,5106.68333333333,5106.68333333333,0,"AIS_before"
"226",NA,"PESARO",NA,NA,0,489.183333333333,489.183333333333,0,"AIS_before"
"227",NA,"PESCARA","abruzzo","ITA",7300.31666666667,27932.3333333333,35232.65,20.72,"AIS_before"
"228",NA,"PESCARA",NA,NA,5.76666666666667,82.7333333333333,88.5,6.516,"AIS_before"
"229",NA,"PLOCE",NA,NA,11.4166666666667,23.2833333333333,34.7,32.901,"AIS_before"
"230",NA,"POREC",NA,"HRV",0,58.55,58.55,0,"AIS_before"
"231",NA,"PORTO GARIBALDI","emilia","ITA",0,1975.23333333333,1975.23333333333,0,"AIS_before"
"232",NA,"PORTO GARIBALDI",NA,NA,0,425.45,425.45,0,"AIS_before"
"233",NA,"PORTO SAN GIORGIO","marche","ITA",0,1187.21666666667,1187.21666666667,0,"AIS_before"
"234",NA,"PORTO SAN GIORGIO",NA,NA,0,187.25,187.25,0,"AIS_before"
"235",NA,"PORTO TOLLE","veneto","ITA",0,10036.6666666667,10036.6666666667,0,"AIS_before"
"236",NA,"PORTO TOLLE",NA,NA,0,9.5,9.5,0,"AIS_before"
"237",NA,"PRAPRATNO",NA,"HRV",0,133.733333333333,133.733333333333,0,"AIS_before"
"238",NA,"PRIMOSTEN",NA,"HRV",1243.36666666667,7192.51666666667,8435.88333333334,14.739,"AIS_before"
"239",NA,"PRIMOSTEN",NA,NA,89,1172.41666666667,1261.41666666667,7.056,"AIS_before"
"240",NA,"PULA",NA,"HRV",0,503.583333333333,503.583333333333,0,"AIS_before"
"241",NA,"PULA",NA,NA,0,474.7,474.7,0,"AIS_before"
"242",NA,"RABAC",NA,"HRV",0,0,0,NA,"AIS_before"
"243",NA,"RABAC",NA,NA,0,10.7333333333333,10.7333333333333,0,"AIS_before"
"244",NA,"RAVENNA","emilia","ITA",0,52.2666666666667,52.2666666666667,0,"AIS_before"
"245",NA,"RAVENNA",NA,NA,25.2,88.5333333333333,113.733333333333,22.157,"AIS_before"
"246",NA,"RIJEKA",NA,"HRV",2.13333333333333,111.1,113.233333333333,1.884,"AIS_before"
"247",NA,"RIJEKA",NA,NA,0,11.5333333333333,11.5333333333333,0,"AIS_before"
"248",NA,"RIMINI","emilia","ITA",0,8236.51666666667,8236.51666666667,0,"AIS_before"
"249",NA,"RIMINI",NA,NA,0,496.016666666667,496.016666666667,0,"AIS_before"
"250",NA,"ROGOZNICA",NA,"HRV",609.166666666667,5528.33333333333,6137.5,9.925,"AIS_before"
"251",NA,"ROGOZNICA",NA,NA,68.0833333333333,1480.05,1548.13333333333,4.398,"AIS_before"
"252",NA,"ROVINJ",NA,"HRV",0,366.95,366.95,0,"AIS_before"
"253",NA,"ROVINJ",NA,NA,0,2.73333333333333,2.73333333333333,0,"AIS_before"
"254",NA,"SAN BENEDETTO DEL TRONTO","marche","ITA",3379.15,11171.2833333333,14550.4333333333,23.224,"AIS_before"
"255",NA,"SAN BENEDETTO DEL TRONTO",NA,NA,27.9,356.333333333333,384.233333333333,7.261,"AIS_before"
"256",NA,"SANTA MARINA",NA,"HRV",0,829.483333333333,829.483333333333,0,"AIS_before"
"257",NA,"SANTA MARINA",NA,NA,0,206.266666666667,206.266666666667,0,"AIS_before"
"258",NA,"SAVUDRIJA",NA,"HRV",0,2.5,2.5,0,"AIS_before"
"259",NA,"SCARDOVARI","veneto","ITA",0,317.35,317.35,0,"AIS_before"
"260",NA,"SCARDOVARI",NA,NA,0,174.433333333333,174.433333333333,0,"AIS_before"
"261",NA,"SENIGALLIA","marche","ITA",0,1066.73333333333,1066.73333333333,0,"AIS_before"
"262",NA,"SIBENIK",NA,"HRV",127.366666666667,935.966666666667,1063.33333333333,11.978,"AIS_before"
"263",NA,"SIBENIK",NA,NA,3.4,62.2666666666667,65.6666666666667,5.178,"AIS_before"
"264",NA,"SLANO",NA,"HRV",0,6.45,6.45,0,"AIS_before"
"265",NA,"SOLIN",NA,"HRV",12.3333333333333,750.866666666667,763.2,1.616,"AIS_before"
"266",NA,"SOLIN",NA,NA,0,160.55,160.55,0,"AIS_before"
"267",NA,"SPLIT",NA,"HRV",23.8,228.1,251.9,9.448,"AIS_before"
"268",NA,"SPLIT",NA,NA,0,66.4,66.4,0,"AIS_before"
"269",NA,"TERMOLI","molise","ITA",78.6666666666667,31864.0166666667,31942.6833333333,0.246,"AIS_before"
"270",NA,"TERMOLI",NA,NA,20.7833333333333,2922.45,2943.23333333333,0.706,"AIS_before"
"271",NA,"TRANI","puglia","ITA",0,341.266666666667,341.266666666667,0,"AIS_before"
"272",NA,"TRANI",NA,NA,0,43.8833333333333,43.8833333333333,0,"AIS_before"
"273",NA,"TRIBUNJ",NA,"HRV",1266.16666666667,7314.8,8580.96666666667,14.756,"AIS_before"
"274",NA,"TRIBUNJ",NA,NA,37.5,391.883333333333,429.383333333333,8.733,"AIS_before"
"275",NA,"TRIESTE","friuli","ITA",0,570.766666666667,570.766666666667,0,"AIS_before"
"276",NA,"TROGIR",NA,"HRV",0,4.38333333333333,4.38333333333333,0,"AIS_before"
"277",NA,"TROGIR",NA,NA,0,250.833333333333,250.833333333333,0,"AIS_before"
"278",NA,"UMAG",NA,"HRV",0,834.083333333333,834.083333333333,0,"AIS_before"
"279",NA,"UVALA KUJE",NA,"HRV",0,284.433333333333,284.433333333333,0,"AIS_before"
"280",NA,"UVALA KUJE",NA,NA,0,30,30,0,"AIS_before"
"281",NA,"VASTO","abruzzo","ITA",453.133333333333,9993.86666666667,10447,4.337,"AIS_before"
"282",NA,"VASTO",NA,NA,11.5,399.1,410.6,2.801,"AIS_before"
"283",NA,"VELA LUKA",NA,"HRV",10.5,3282.4,3292.9,0.319,"AIS_before"
"284",NA,"VELA LUKA",NA,NA,0,112.25,112.25,0,"AIS_before"
"285",NA,"VENEZIA","veneto","ITA",0,11.0333333333333,11.0333333333333,0,"AIS_before"
"286",NA,"VENEZIA",NA,NA,0,43.9333333333333,43.9333333333333,0,"AIS_before"
"287",NA,"VIESTE","puglia","ITA",0,13820.4,13820.4,0,"AIS_before"
"288",NA,"VIESTE",NA,NA,0,2436.46666666667,2436.46666666667,0,"AIS_before"
"289",NA,"VIS",NA,"HRV",124.616666666667,5510.16666666667,5634.78333333333,2.212,"AIS_before"
"290",NA,"VIS",NA,NA,6.28333333333333,473.833333333333,480.116666666667,1.309,"AIS_before"
"291",NA,"VOLME",NA,"HRV",0,293.7,293.7,0,"AIS_before"
"292",NA,"VRSAR",NA,"HRV",0,1248.16666666667,1248.16666666667,0,"AIS_before"
"293",NA,"VRSAR",NA,NA,0,179.133333333333,179.133333333333,0,"AIS_before"
"294",NA,"ZADAR",NA,"HRV",6.06666666666667,89.7333333333333,95.8,6.333,"AIS_before"
"295",NA,NA,NA,NA,202.216666666667,954.35,1156.56666666667,17.484,"AIS_before"
